"","place","month","year","Sample.ID","sample","site.x","rep.x","ammonia.kg","no3.no2.kg","site.y","rep.y","spp","totC","C13","totN","SLA","LMA","ug.gfw_pr","indi","soilN","ratio","cn","pro_area","speciesN"
"1",1,10,2013,"hl1cs-10","hl1","HL",1,36.4,7.65,"HL",1,"Cs",47.71757495,-27.61162726,2.946109974,220.1581028,43,1616.547335,103,44.05,4.75816993464052,16.196807101947,69511.535405,1
"2",1,10,2013,"hl1cs-10","hl1","HL",1,36.4,7.65,"HL",1,"Pa",50.92034528,-28.8863429,4.997964128,103.5326087,99,722.8251507,103,44.05,4.75816993464052,10.1882174373221,71559.6899193,2
"3",1,10,2013,"hl1pa-10","hl1","HL",1,27.3,14.1,"HL",1,"Cs",47.71757495,-27.61162726,2.946109974,220.1581028,43,1616.547335,103,41.4,1.93617021276596,16.196807101947,69511.535405,1
"4",1,10,2013,"hl1pa-10","hl1","HL",1,27.3,14.1,"HL",1,"Pa",50.92034528,-28.8863429,4.997964128,103.5326087,99,722.8251507,103,41.4,1.93617021276596,10.1882174373221,71559.6899193,2
"5",1,5,2013,"hl1-5","hl1","HL",1,16.8,23.1,"HL",1,"Cs",53.22330707,-25.63622882,5.23947948,306.0948081,11,586.3808323,103,39.9,0.727272727272727,10.1581287364828,6450.1891553,1
"6",1,5,2013,"hl1-5","hl1","HL",1,16.8,23.1,"HL",1,"Pa",49.84685278,-28.41108058,4.5807483,94.44444444,103,405.7971014,103,39.9,0.727272727272727,10.8818143926397,41797.1014442,2
"7",1,5,2013,"hl1-up","hl1","HL",1,20.8,13.1,"HL",1,"Cs",53.22330707,-25.63622882,5.23947948,306.0948081,11,586.3808323,103,33.9,1.58778625954198,10.1581287364828,6450.1891553,1
"8",1,5,2013,"hl1-up","hl1","HL",1,20.8,13.1,"HL",1,"Pa",49.84685278,-28.41108058,4.5807483,94.44444444,103,405.7971014,103,33.9,1.58778625954198,10.8818143926397,41797.1014442,2
"9",1,7,2013,"hl1-7","hl1","HL",1,19.2,4.64,"HL",1,"Cs",54.00432821,-26.7136571,3.303553573,156.4835165,72,468.4314044,103,23.84,4.13793103448276,16.3473444630589,33727.0611168,1
"10",1,7,2013,"hl1-7","hl1","HL",1,19.2,4.64,"HL",1,"Pa",26.79647133,-28.43943838,2.187405416,135.7967667,82,1418.650794,103,23.84,4.13793103448276,12.2503451504666,116329.365108,2
"11",10,10,2013,"mw2-10","mw2","MW",2,152,10.3,"MW",2,"Cs",48.60512917,-26.2541036,2.262241872,69.06552095,113,966.7896679,103,162.3,14.7572815533981,21.4853812811047,109247.2324727,1
"12",10,5,2013,"mw2-5","mw2","MW",2,93,8.08,"MW",2,"Cs",48.44900515,-29.18426712,5.577221788,250,28,851.3488173,103,101.08,11.509900990099,8.68694253010402,23837.7668844,1
"13",10,7,2013,"mw2-7","mw2","MW",2,69.6,1.59,"MW",2,"Cs",55.17320005,-26.85475773,3.704360635,120.2898551,93,611.3627007,103,71.19,43.7735849056604,14.8941222214451,56856.7311651,1
"14",11,10,2013,"mw3-10","mw3","MW",3,104,41.3,"MW",3,"Pa",46.99222019,-29.47498865,5.93919814,286.3221884,18,757.08061,103,145.3,2.5181598062954,7.91221627605103,13627.45098,2
"15",11,5,2013,"mw3-5","mw3","MW",3,35.8,15.2,"MW",3,"Pa",51.75288523,-28.58571453,6.266687393,232.5663717,36,515.4451346,103,51,2.35526315789474,8.25841181862827,18556.0248456,2
"16",11,7,2013,"mw3-7","mw3","MW",3,190,12.5,"MW",3,"Pa",53.64649962,-28.74684642,5.148033269,200,56,616.8025523,103,202.5,15.2,10.4207756276643,34540.9429288,2
"17",12,10,2013,"mw4-10","mw4","MW",4,44.8,0.238,"MW",4,"Cs",51.66527557,-26.97404376,1.865404328,56.43363728,115,370.8970768,103,45.038,188.235294117647,27.6965560733919,42653.163832,1
"18",12,10,2013,"mw4-10","mw4","MW",4,44.8,0.238,"MW",4,"Pa",49.75611544,-29.56612218,4.203248242,225.7617729,40,592.5925926,103,45.038,188.235294117647,11.8375391067373,23703.703704,2
"19",12,5,2013,"mw4-5","mw4","MW",4,20.9,0.125,"MW",4,"Cs",51.26223516,-27.2017216,6.00066998,121.0016155,91,570.1149425,103,21.025,167.2,8.54275194784167,51880.4597675,1
"20",12,5,2013,"mw4-5","mw4","MW",4,20.9,0.125,"MW",4,"Pa",49.05336265,-28.53273397,5.876928326,296.5277778,16,508.8228185,103,21.025,167.2,8.34676891208355,8141.165096,2
"21",12,7,2013,"mw4-7","mw4","MW",4,37.6,0.217,"MW",4,"Pa",54.24177362,-28.12914209,7.529994269,255.6451613,24,376.570342,103,37.817,173.271889400922,7.20342827395052,9037.688208,2
"22",12,7,2013,"mw4-7","mw4","MW",4,37.6,0.217,"MW",4,"Cs",55.80605493,-28.08406722,5.42253955,140.8304498,79,252.1999807,103,37.817,173.271889400922,10.2914979993092,19923.7984753,1
"23",13,10,2013,"dl1-10","dl1","DL",1,27.4,1.39,"DL",1,"Cs",47.34341766,-26.6259472,2.769973777,77.60252366,110,1627.192982,103,28.79,19.7122302158273,17.0916483228498,178991.22802,1
"24",13,5,2013,"dl1-5","dl1","DL",1,24.1,1.67,"DL",1,"Cs",51.39924091,-26.76524485,6.042346355,161.0354223,70,751.8796992,103,25.77,14.4311377245509,8.50650358158755,52631.578944,1
"25",13,7,2013,"dl1-7","dl1","DL",1,57,0.265,"DL",1,"Cs",52.45674108,-30.47235627,3.785580415,207.3059361,52,271.3321056,103,57.265,215.094339622641,13.8569876556169,14109.2694912,1
"26",14,10,2013,"dl2-10","dl2","DL",2,19,1.19,"DL",2,"Pa",50.66070718,-29.00334613,3.663736313,211.1731844,48,1085.493,103,20.19,15.9663865546218,13.827607352702,52103.664,2
"27",14,5,2013,"dl2-5","dl2","DL",2,127,7.38,"DL",2,"Pa",47.91210659,-27.62417275,6.448734941,230.5186972,37,647.780605,103,134.38,17.2086720867209,7.4296907887131,23967.882385,2
"28",14,7,2013,"dl2-7","dl2","DL",2,91.5,2.58,"DL",2,"Pa",50.75733457,-28.09744453,4.655076099,191.0344828,61,1194.719472,103,94.08,35.4651162790698,10.903653021033,72877.887792,2
"29",15,10,2013,"82a1-10","82a1","82A",1,24.5,10.7,"82a",1,"Pa",48.37489264,-28.90206026,4.234668606,254.4585987,25,770.0875099,103,35.2,2.28971962616822,11.4235367961164,19252.1877475,2
"30",15,10,2013,"82a1-10","82a1","82A",1,24.5,10.7,"82a",1,"Cs",50.60550202,-26.72847293,2.022680343,78.13084112,109,2524.799113,103,35.2,2.28971962616822,25.0190309087312,275203.103317,1
"31",15,5,2013,"82a1-5","82a1","82A",1,87.1,89.7,"82a",1,"Pa",44.90606036,-28.195445,6.443471467,242.8030303,32,449.8360656,103,176.8,0.971014492753623,6.96923398978093,14394.7540992,2
"32",15,5,2013,"82a1-5","82a1","82A",1,87.1,89.7,"82a",1,"Cs",NA,NA,NA,337.3737374,5,551.5080298,103,176.8,0.971014492753623,NA,2757.540149,1
"33",15,7,2013,"82a1-7","82a1","82A",1,33.6,39.7,"82a",1,"Pa",53.97663504,-27.58106178,5.047360804,191.0081744,62,659.5441595,103,73.3,0.846347607052897,10.6940314227633,40891.737889,2
"34",15,7,2013,"82a1-7","82a1","82A",1,33.6,39.7,"82a",1,"Cs",47.55336129,-27.55658573,3.473465338,191.2912913,60,442.0485175,103,73.3,0.846347607052897,13.6904666270201,26522.91105,1
"35",16,10,2013,"82a2-10","83a2","82A",2,24,18,"82a",2,"Pa",45.32659357,-30.82042667,4.181033607,307.5,10,669.495521,103,42,1.33333333333333,10.8410019699705,6694.95521,2
"36",16,10,2013,"82a2-10","83a2","82A",2,24,18,"82a",2,"Cs",51.29297934,-27.70714404,2.315722536,91.98717949,108,1447.723133,103,42,1.33333333333333,22.1498813189423,156354.098364,1
"37",16,5,2013,"82a2-5","82a2","82A",2,109,13.8,"82a",2,"Pa",50.61709745,-27.69683842,4.21195587,212.7433628,47,537.3119408,103,122.8,7.89855072463768,12.0174804799178,25253.6612176,2
"38",16,5,2013,"82a2-5","82a2","82A",2,109,13.8,"82a",2,"Cs",48.66919448,-27.18649699,3.820391892,327.6923077,6,299.9090082,103,122.8,7.89855072463768,12.7393199063988,1799.4540492,1
"39",16,7,2013,"82a2-7","82a2","82A",2,23.9,0.263,"82a",2,"Cs",54.69347825,-27.40640852,3.21576032,126.1455526,86,967.2184356,103,24.163,90.8745247148289,17.0079461177007,83180.7854616,1
