lat,lon,altitude (m),name
41.232336,-86.45501,187.7,NC1
41.232063,-86.453972,188.6,NC2
41.232322,-86.445703,230.6,NC3
41.232319,-86.445701,230.3,NC4
41.233908,-86.44634,227.6,RL1
41.233989,-86.662536,215,RL2
41.237843,-86.661831,218.6,RL3
41.238382,-86.662179,217.3,RL4
41.182328,-86.388823,193,MW2
41.182023,-86.389081,194.3,MW1
41.179739,-86.386491,204.7,MW3
41.181466,-86.387121,196.7,MW4
41.188726,-86.289404,216.6,82A1
41.189314,-86.289531,215.3,82A2
41.187937,-86.290514,218,82A3
41.187724,-86.290527,248.9,82A4
41.187834,-86.29124,248.6,82A5
41.323299,-86.348785,234.2,DL1
41.327365,-86.337319,228.3,DL2
41.188919,-86.292597,261.8,82A6
41.18966,-86.294559,259.7,82A7
