STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,Missing,Consecutive Missing,HTDD,Missing,Consecutive Missing,DT90,Missing,Consecutive Missing,DX32,Missing,Consecutive Missing,DT00,Missing,Consecutive Missing,DT32,Missing,Consecutive Missing,DP01,Missing,Consecutive Missing,DP05,Missing,Consecutive Missing,DP10,Missing,Consecutive Missing,EMXP,Missing,Consecutive Missing,MXSD,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,TSNW,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:USC00124662,KOKOMO 3 WSW IN US,256,40.48333,-86.13333,19010101,0,0,0,6170,0,0,0,0,0,13,0,0,1,0,0,26,0,0,4,0,0,0,0,0,0,0,0,102,0,0,0,0,0,281,0,0,54,0,0,133,0,0,-200,0,0,29,0,0,-61,0,0,-16,0,0
GHCND:USC00124662,KOKOMO 3 WSW IN US,256,40.48333,-86.13333,19010201,0,0,0,6721,0,0,0,0,0,20,0,0,1,0,0,28,0,0,6,0,0,1,0,0,0,0,0,127,0,0,0,0,0,390,0,0,176,0,0,50,0,0,-178,0,0,-16,0,0,-98,0,0,-57,0,0
GHCND:USC00124662,KOKOMO 3 WSW IN US,256,40.48333,-86.13333,19010301,0,0,0,4704,0,0,0,0,0,3,0,0,0,0,0,17,0,0,12,0,0,2,0,0,0,0,0,178,0,0,0,0,0,912,0,0,72,0,0,206,0,0,-150,0,0,72,0,0,-9,0,0,31,0,0
GHCND:USC00124662,KOKOMO 3 WSW IN US,256,40.48333,-86.13333,19010401,31,0,0,2611,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,2,0,0,0,0,0,203,0,0,-9999,0,0,627,0,0,-9999,0,0,300,0,0,-11,0,0,155,0,0,39,0,0,97,0,0
GHCND:USC00124662,KOKOMO 3 WSW IN US,256,40.48333,-86.13333,19010501,176,0,0,997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,2,0,0,305,0,0,0,14,14,1386,0,0,0,14,14,311,0,0,39,0,0,214,0,0,99,0,0,157,0,0
GHCND:USC00124662,KOKOMO 3 WSW IN US,256,40.48333,-86.13333,19010601,1550,0,0,141,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,1,0,0,445,0,0,0,0,0,1302,0,0,0,0,0,356,0,0,56,0,0,289,0,0,171,0,0,230,0,0
GHCND:USC00124662,KOKOMO 3 WSW IN US,256,40.48333,-86.13333,19010701,2845,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,44,0,0,0,0,0,389,0,0,128,0,0,346,0,0,204,0,0,275,0,0
GHCND:USC00124662,KOKOMO 3 WSW IN US,256,40.48333,-86.13333,19010801,1616,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,0,0,569,0,0,0,0,0,852,0,0,0,0,0,350,0,0,106,0,0,295,0,0,175,0,0,235,0,0
GHCND:USC00124662,KOKOMO 3 WSW IN US,256,40.48333,-86.13333,19010901,552,0,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,203,0,0,0,0,0,340,0,0,0,0,0,311,0,0,17,0,0,245,0,0,132,0,0,189,0,0
GHCND:USC00124662,KOKOMO 3 WSW IN US,256,40.48333,-86.13333,19011001,12,0,0,1715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,970,0,0,0,0,0,1176,0,0,0,0,0,261,0,0,6,0,0,186,0,0,70,0,0,128,0,0
