Sample ID,site,rep,date,month,place,ammonia/kg,no3+no2/kg
10-Nov,82A,1,288,10,15,3.3,79.8
7-Dec,82A,1,206,7,15,52.2,216
10-Dec,82A,1,288,10,15,151,24.3
13-10,82A,1,288,10,15,124,57.4
13-7,82A,1,206,7,15,79.9,136
14-10,82A,1,288,10,15,68.1,196
14-7,82A,1,206,7,15,194,112
15-10,82A,1,288,10,15,44.2,93.8
15-7,82A,1,206,7,15,73.6,132
21-10,82A,2,288,10,16,164,46.1
21-7,82A,2,206,7,16,27.9,5.84
22-10,82A,2,288,10,16,39.2,7.06
22-7,82A,2,206,7,16,30.1,5.54
23-10,82A,2,288,10,16,166,73.5
23-7,82A,2,206,7,16,2.34,94.7
24-10,82A,2,288,10,16,16,47.4
24-7,82A,2,206,7,16,109,40.5
25-7,82A,2,206,7,16,76.4,35.3
cs11-5,82A,1,128,5,15,79.9,34.3
cs13-5,82A,1,128,5,15,66.7,74.4
cs14-5,82A,1,128,5,15,201,40.3
cs22-5,82A,2,128,5,16,31.2,0.4
cs23-5,82A,2,128,5,16,2.82,2.33
pa12-5,82A,1,128,5,15,33.3,55.4
pa13-5,82A,1,128,5,15,37.1,116
pa14-5,82A,1,128,5,15,29.2,2.68
pa23-5,82A,2,128,5,16,23.7,71.9
pa24-5,82A,2,128,5,16,10.5,0.0595
