Sample ID,sample,site,rep,month,place,ammonia/kg,no3+no2/kg
82a1-10,82a1,82A,1,10,15,24.5,10.7
82a1-5,82a1,82A,1,5,15,87.1,89.7
82a1-7,82a1,82A,1,7,15,33.6,39.7
82a2-10,83a2,82A,2,10,16,24,18
82a2-5,82a2,82A,2,5,16,109,13.8
82a2-7,82a2,82A,2,7,16,23.9,0.263
82a3-10,82a3,82A,3,10,17,31.1,4.33
82a3-5,82a3,82A,3,5,17,143,83.8
82a3-7,82a3,82A,3,7,17,153,31
82a4-10,82a4,82A,4,10,18,188,33.9
82a4-5,82a4,82A,4,5,18,96.5,37.3
82a4-7,82a4,82A,4,7,18,110,2.78
82a5-10,82a5,82A,5,10,19,18.7,4.27
82a5-5,82a5,82A,5,5,19,105,22.3
82a5-7,82a5,82A,5,7,19,26.6,0.479
82a6-10,82a6,82A,6,10,20,27.7,1.05
82a6-5,82a6,82A,6,5,20,157,33.8
82a6-7,82a6,82A,6,7,20,32.9,1.02
82a7-10,82a7,82A,7,10,21,123,17.6
82a7-5,82a7,82A,7,5,21,102,14.5
82a7-7,82a7,82A,7,7,21,161,2.94
dl1-10,dl1,DL,1,10,13,27.4,1.39
dl1-5,dl1,DL,1,5,13,24.1,1.67
dl1-7,dl1,DL,1,7,13,57,0.265
dl2-10,dl2,DL,2,10,14,19,1.19
dl2-5,dl2,DL,2,5,14,127,7.38
dl2-7,dl2,DL,2,7,14,91.5,2.58
hl1-5,hl1,HL,1,5,1,16.8,23.1
hl1-7,hl1,HL,1,7,1,19.2,4.64
hl1cs-10,hl1,HL,1,10,1,36.4,7.65
hl1pa-10,hl1,HL,1,10,1,27.3,14.1
hl1-up,hl1,HL,1,5,1,20.8,13.1
hl2-10,hl2,HL,2,10,2,23.2,20.4
hl2-5,hl2,HL,2,5,2,15.3,27.9
hl2-7,hl2,HL,2,7,2,13.2,6.75
hl3-10,hl3,HL,3,10,3,59.4,58.5
hl3-5,hl3,HL,3,5,3,36.7,49
hl3-7,hl3,HL,3,7,3,91.7,42.3
hl4-10,hl4,HL,4,10,4,86.4,50
hl4-5,hl4,HL,4,5,4,175,32.4
hl4-7,hl4,HL,4,7,4,55.4,16.2
mw1-10,mw1,MW,1,10,9,89.6,31.1
mw1-5pa,mw1,MW,1,5,9,68.7,6.17
mw1-7,mw1,MW,1,7,9,111,2.06
mw1cs-5,mw1,MW,1,5,9,52.6,9.92
mw1pa-10,mw1,MW,1,10,9,55.5,20.5
mw2-10,mw2,MW,2,10,10,152,10.3
mw2-5,mw2,MW,2,5,10,93,8.08
mw2-7,mw2,MW,2,7,10,69.6,1.59
mw3-10,mw3,MW,3,10,11,104,41.3
mw3-5,mw3,MW,3,5,11,35.8,15.2
mw3-7,mw3,MW,3,7,11,190,12.5
mw4-10,mw4,MW,4,10,12,44.8,0.238
mw4-5,mw4,MW,4,5,12,20.9,0.125
mw4-7,mw4,MW,4,7,12,37.6,0.217
rl2-10,rl2,RL,2,10,6,19.7,10.4
rl2-5,rl2,RL,2,5,6,26.2,8.79
rl2-7,rl2,RL,2,7,6,79.8,4.38
rl3-10,rl3,RL,3,10,7,24.9,4.51
rl3-5,rl3,RL,3,5,7,51,2.35
rl3-7,rl3,RL,3,7,7,136,2.67
rl4-10,rl4,RL,4,10,8,38,4.07
rl4-5,rl4,RL,4,5,8,24.6,10.1
rl4-7,rl4,RL,4,7,8,92.4,3.62
