STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,DP01,DP05,DP10,EMXP,MXSD,DSNW,TPCP,TSNW
COOP:126401,NORTH JUDSON 3 S IN US,215.5,41.21667,-86.71667,199207,9,3,1,-9999,-9999,0,645,0
COOP:126401,NORTH JUDSON 3 S IN US,215.5,41.21667,-86.71667,199208,4,2,0,-9999,-9999,0,229,0
COOP:126401,NORTH JUDSON 3 S IN US,215.5,41.21667,-86.71667,199209,6,1,1,-9999,-9999,0,496,0
COOP:126401,NORTH JUDSON 3 S IN US,215.5,41.21667,-86.71667,199210,3,0,0,-9999,-9999,0,93,0
COOP:126401,NORTH JUDSON 3 S IN US,215.5,41.21667,-86.71667,199211,7,6,1,-9999,-9999,0,574,0
COOP:126401,NORTH JUDSON 3 S IN US,215.5,41.21667,-86.71667,199212,3,1,1,-9999,-9999,1,-9999,-9999
COOP:126401,NORTH JUDSON 3 S IN US,210.3,41.2,-86.85,199308,6,3,1,-9999,-9999,0,586,0
COOP:126401,NORTH JUDSON 3 S IN US,210.3,41.2,-86.85,199309,9,6,3,-9999,-9999,0,912,0
COOP:126401,NORTH JUDSON 3 S IN US,210.3,41.2,-86.85,199310,1,1,0,-9999,-9999,0,514,0
COOP:126401,NORTH JUDSON 3 S IN US,210.3,41.2,-86.85,199311,6,3,0,-9999,-9999,0,275,0
COOP:126401,NORTH JUDSON 3 S IN US,210.3,41.2,-86.85,199312,3,1,0,-9999,-9999,1,101,13
COOP:126401,NORTH JUDSON 3 S IN US,210.3,41.2,-86.85,199401,3,1,0,79,5,6,134,117
COOP:126401,NORTH JUDSON 3 S IN US,210.3,41.2,-86.85,199402,3,0,0,35,7,4,96,70
COOP:126401,NORTH JUDSON 3 S IN US,210.3,41.2,-86.85,199403,4,1,0,55,-9999,-9999,143,0
COOP:126401,NORTH JUDSON 3 S IN US,210.3,41.2,-86.85,199404,5,3,2,173,-9999,-9999,407,0
COOP:126401,NORTH JUDSON 3 S IN US,210.3,41.2,-86.85,199405,1,0,0,35,0,0,-9999,0
COOP:126401,NORTH JUDSON 3 S IN US,210.3,41.2,-86.85,199406,9,3,3,230,0,0,648,0
COOP:126401,NORTH JUDSON 3 S IN US,210.3,41.2,-86.85,199407,7,2,1,201,0,0,424,0
COOP:126401,NORTH JUDSON 3 S IN US,210.3,41.2,-86.85,199408,5,4,1,108,0,0,375,0
COOP:126401,NORTH JUDSON 3 S IN US,210.3,41.2,-86.85,199409,5,3,1,150,0,0,314,0
COOP:126401,NORTH JUDSON 3 S IN US,210.3,41.2,-86.85,199410,1,1,0,75,0,0,79,0
COOP:126401,NORTH JUDSON 3 S IN US,210.3,41.2,-86.85,199411,5,4,3,203,0,0,547,0
COOP:126401,NORTH JUDSON 3 S IN US,210.3,41.2,-86.85,199412,2,2,1,167,0,0,230,0
COOP:126401,NORTH JUDSON 3 S IN US,210.3,41.2,-86.85,199501,2,1,0,-9999,4,1,175,-9999
COOP:126401,NORTH JUDSON 3 S IN US,unknown,unknown,unknown,199502,2,0,0,-9999,0,0,70,30
COOP:126401,NORTH JUDSON 3 S IN US,213.4,41.17333,-86.75944,199702,7,3,2,-9999,-9999,8,528,70
COOP:126401,NORTH JUDSON 3 S IN US,213.4,41.17333,-86.75944,199703,4,3,1,-9999,-9999,0,304,0
COOP:126401,NORTH JUDSON 3 S IN US,213.4,41.17333,-86.75944,199704,4,1,0,-9999,-9999,0,135,35
COOP:126401,NORTH JUDSON 3 S IN US,213.4,41.17333,-86.75944,199705,8,3,1,-9999,-9999,0,448,0
COOP:126401,NORTH JUDSON 3 S IN US,213.4,41.17333,-86.75944,199706,8,4,0,-9999,-9999,0,481,0
COOP:126401,NORTH JUDSON 3 S IN US,213.4,41.17333,-86.75944,199707,6,2,2,-9999,-9999,0,602,0
COOP:126401,NORTH JUDSON 3 S IN US,213.4,41.17333,-86.75944,199708,6,3,2,-9999,-9999,0,443,0
COOP:126401,NORTH JUDSON 3 S IN US,213.4,41.17333,-86.75944,199709,5,2,1,-9999,-9999,0,277,0
COOP:126401,NORTH JUDSON 3 S IN US,213.4,41.17333,-86.75944,199710,3,2,1,-9999,-9999,0,208,0
COOP:126401,NORTH JUDSON 3 S IN US,213.4,41.17333,-86.75944,199711,8,1,1,-9999,-9999,6,259,58
COOP:126401,NORTH JUDSON 3 S IN US,213.4,41.17333,-86.75944,199712,5,1,0,-9999,-9999,10,163,72
COOP:126401,NORTH JUDSON 3 S IN US,213.4,41.17333,-86.75944,199801,8,4,1,198,3,6,505,27
COOP:126401,NORTH JUDSON 3 S IN US,213.4,41.17333,-86.75944,199802,3,0,0,47,0,0,138,0
COOP:126401,NORTH JUDSON 3 S IN US,213.4,41.17333,-86.75944,199803,8,4,1,255,6,7,550,70
COOP:126401,NORTH JUDSON 3 S IN US,213.4,41.17333,-86.75944,199804,9,4,0,73,0,0,414,0
COOP:126401,NORTH JUDSON 3 S IN US,213.4,41.17333,-86.75944,199805,5,3,2,156,0,0,444,0
COOP:126401,NORTH JUDSON 3 S IN US,213.4,41.17333,-86.75944,199806,9,4,1,107,0,0,500,0
COOP:126401,NORTH JUDSON 3 S IN US,213.4,41.17333,-86.75944,199807,5,3,3,141,0,0,393,0
COOP:126401,NORTH JUDSON 3 S IN US,213.4,41.17333,-86.75944,199808,7,2,1,158,0,0,339,0
COOP:126401,NORTH JUDSON 3 S IN US,213.4,41.17333,-86.75944,199809,4,2,1,101,0,0,214,0
