STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,HTDD,DT90,DX32,DT00,DT32,DP01,DP05,DP10,EMXP,MXSD,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18931201,0,6303,0,12,1,26,10,2,0,229,-9999,841,572,156,-178,28,-68,-20
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18940101,0,6131,0,11,2,24,4,2,0,142,-9999,367,140,150,-233,27,-57,-15
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18940201,0,6389,0,16,2,25,5,2,0,203,-9999,529,326,122,-178,-3,-87,-45
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18940301,0,3261,0,3,0,11,5,2,0,178,-9999,593,279,239,-117,116,20,71
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18940401,68,2499,0,0,0,8,9,3,0,229,-9999,907,13,278,-22,156,48,102
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18940501,175,1324,0,0,0,0,13,6,1,264,-9999,1561,-9999,306,17,200,92,146
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18940601,1482,261,8,0,0,0,4,2,0,208,-9999,500,-9999,333,50,283,164,224
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18940701,1596,19,10,0,0,0,2,1,1,328,-9999,422,-9999,350,100,292,177,236
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18940801,1177,8,5,0,0,0,2,0,0,84,-9999,117,-9999,344,111,281,168,225
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18940901,681,368,1,0,0,0,10,3,1,318,-9999,1239,-9999,333,50,239,148,195
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18941001,14,2012,0,0,0,1,5,0,0,114,-9999,459,-9999,233,-11,158,79,119
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18941101,0,4286,0,3,0,20,9,0,0,109,-9999,546,419,156,-111,61,-20,18
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18941201,0,4991,0,6,0,23,2,1,0,152,-9999,277,38,122,-156,41,-25,11
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18950101,0,7095,0,23,8,29,11,1,0,178,-9999,960,840,117,-244,-33,-125,-80
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18950201,0,6763,0,17,10,25,3,0,0,51,-9999,210,180,161,-256,-32,-141,-88
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18950301,0,5352,0,7,0,25,3,0,0,76,-9999,191,89,250,-144,72,-51,10
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18950401,71,2338,0,0,0,7,5,0,0,76,-9999,268,0,300,-39,172,43,107
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18950501,807,1332,5,0,0,2,6,0,0,86,-9999,331,0,350,-11,235,97,166
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18950601,1267,60,9,0,0,0,4,1,0,152,-9999,376,-9999,361,61,295,152,223
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18950701,1251,79,7,0,0,0,6,1,0,175,-9999,404,-9999,350,67,291,150,221
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18950801,1485,35,11,0,0,0,5,2,0,241,-9999,597,-9999,361,78,301,158,230
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18950901,1222,411,9,0,0,0,5,0,0,117,-9999,310,-9999,344,44,273,147,210
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18951001,0,3103,0,0,0,8,4,1,0,175,-9999,379,-9999,239,-83,142,18,80
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18951101,0,4481,0,2,0,18,10,4,0,203,-9999,975,379,217,-139,76,-9,34
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18951201,0,5006,0,8,2,22,13,4,3,635,-9999,2097,445,139,-183,36,-50,-10
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18960101,0,3643,0,12,2,20,2,0,0,114,-9999,195,38,33,-233,-10,-78,-45
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18960201,0,3271,0,6,4,24,5,0,0,119,25,347,241,156,-206,31,-74,-9
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18960301,0,5806,0,7,1,25,8,1,0,152,-9999,579,396,189,-194,41,-49,-4
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18960401,317,1896,0,0,0,8,5,1,1,320,-9999,598,25,300,-106,188,73,130
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18960501,507,179,2,0,0,0,6,2,0,206,-9999,778,-9999,322,72,261,129,196
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18960601,820,173,4,0,0,0,9,2,1,427,-9999,969,-9999,367,56,269,140,205
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18960701,1333,55,7,0,0,0,9,5,2,518,-9999,1893,-9999,339,78,283,166,226
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18960801,1348,124,7,0,0,0,7,3,2,391,-9999,1216,-9999,356,67,281,164,222
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18960901,338,925,0,0,0,1,10,4,1,305,-9999,1250,-9999,311,-11,218,109,163
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18961001,34,2815,0,0,0,7,2,0,0,114,-9999,240,13,261,-39,154,33,93
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18961101,0,4065,0,3,0,19,7,1,0,234,25,685,118,211,-128,93,2,48
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18961201,0,5703,0,11,0,26,1,0,0,51,51,94,72,161,-156,39,-41,-1
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18970101,0,7460,0,17,7,28,12,2,2,378,152,1406,492,144,-300,-15,-100,-58
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18970201,0,5662,0,11,1,27,7,0,0,89,203,455,318,67,-206,20,-59,-19
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18970301,0,4886,0,3,0,22,13,1,0,127,0,842,230,189,-117,79,-28,25
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18970401,9,2979,0,0,0,11,8,1,0,196,-9999,635,38,267,-94,143,25,84
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18970501,86,1732,0,0,0,1,8,1,1,391,-9999,786,-9999,283,-6,192,68,130
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18970601,835,299,3,0,0,0,6,1,0,145,-9999,421,-9999,350,28,264,138,201
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18970701,1967,30,15,0,0,0,4,1,1,318,-9999,445,-9999,383,111,311,180,245
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18970801,789,79,3,0,0,0,3,2,1,732,-9999,930,-9999,333,67,271,141,206
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18970901,1217,349,12,0,0,1,1,0,0,46,-9999,59,-9999,367,0,295,129,212
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18971001,222,1333,1,0,0,0,2,0,0,114,-9999,180,-9999,322,17,214,76,143
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18971101,0,4068,0,2,0,12,9,3,1,257,-9999,1182,26,189,-100,89,6,47
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18971201,0,6345,0,13,2,25,9,2,1,254,25,889,558,144,-189,14,-57,-22
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18980101,0,5376,0,7,1,24,9,3,0,211,-9999,894,472,156,-178,22,-54,-16
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18980201,0,5645,0,10,1,24,12,0,0,102,152,675,305,156,-228,25,-62,-19
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18980301,0,3771,0,0,0,16,9,2,1,434,127,1135,41,217,-83,114,9,61
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18980401,0,2998,0,0,0,8,2,0,0,97,-9999,257,-9999,250,-89,143,24,83
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18980501,151,1034,0,0,0,0,10,1,0,201,-9999,755,-9999,272,6,217,92,155
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18980601,1072,38,4,0,0,0,6,2,1,279,-9999,866,-9999,328,89,283,152,217
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18980701,1826,38,14,0,0,0,3,2,0,229,-9999,494,0,383,78,313,169,241
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18980801,1244,3,4,0,0,0,7,3,3,315,-9999,1042,-9999,350,106,279,167,223
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18980901,768,304,5,0,0,0,4,2,0,142,-9999,460,-9999,339,61,253,144,198
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18981001,154,2185,0,0,0,1,15,3,2,353,0,1670,13,311,-6,164,71,117
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18981101,0,4648,0,5,0,17,5,3,1,445,152,919,368,200,-139,73,-17,28
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18981201,0,6605,0,13,1,27,6,2,0,191,0,572,267,122,-194,7,-67,-30
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18990101,0,6862,0,12,3,26,5,2,0,191,-9999,511,140,111,-244,2,-79,-38
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18990201,0,7060,0,16,8,24,3,2,1,345,0,553,101,106,-289,-26,-112,-69
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18990301,0,5769,0,10,0,27,10,2,0,178,102,968,711,189,-167,37,-43,-3
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18990401,244,2126,0,2,0,8,2,1,0,135,-9999,205,0,311,-94,178,63,120
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18990501,315,746,0,0,0,0,11,4,0,152,-9999,1149,-9999,294,39,224,115,169
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18990601,1224,68,3,0,0,0,4,2,0,178,-9999,415,-9999,328,67,284,160,222
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18990701,1519,8,6,0,0,0,5,2,1,257,-9999,672,-9999,339,94,290,173,232
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18990801,1637,0,14,0,0,0,2,0,0,104,-9999,168,-9999,356,106,309,163,236
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18990901,618,938,4,0,0,1,10,3,1,312,-9999,1029,0,356,-6,231,113,172
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18991001,206,1426,0,0,0,1,5,2,2,361,-9999,939,-9999,311,-6,200,87,144
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18991101,0,3618,0,0,0,10,3,1,0,216,76,391,216,161,-28,101,23,62
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,18991201,0,5916,0,12,1,23,14,2,1,305,279,1074,773,144,-189,20,-60,-21
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,19000101,0,6188,0,8,3,25,4,0,0,64,-9999,222,76,106,-206,23,-56,-17
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,19000201,0,6707,0,13,7,26,9,2,1,343,406,1007,595,172,-228,-2,-111,-57
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,19000301,0,6175,0,9,1,30,7,1,0,203,457,626,291,100,-194,29,-62,-16
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,19000401,17,2410,0,0,0,9,5,0,0,76,0,296,127,261,-50,161,46,103
GHCND:USW00014848,SOUTH BEND AIRPORT IN US,244.1,41.75,-86.16667,19000501,572,924,0,0,0,1,3,1,0,198,-9999,442,-9999,317,-6,240,104,172
