Sample ID,site,rep,date,month,place,ammonia/g,ammonia/kg,no3+no2/g,no3+no2/kg
7-Nov,,1,206,7,15,-0.1108,-27.7,0.3952,98.8
25-10,,2,288,10,16,-0.028,-7,0.2284,57.1
22-10,,2,288,10,16,-0.000564,-0.141,0.002492,0.623
23-7,82A,2,206,7,16,0.00936,2.34,0.3788,94.7
cs23-5,82A,2,128,5,16,0.01128,2.82,0.00932,2.33
10-Nov,82A,1,288,10,15,0.0132,3.3,0.3192,79.8
24-10,82A,2,288,10,16,0.064,16,0.1896,47.4
pa23-5,82A,2,128,5,16,0.0948,23.7,0.2876,71.9
pa13-5,82A,1,128,5,15,0.1484,37.1,0.464,116
15-10,82A,1,288,10,15,0.1768,44.2,0.3752,93.8
7-Dec,82A,1,206,7,15,0.2088,52.2,0.864,216
cs13-5,82A,1,128,5,15,0.2668,66.7,0.2976,74.4
14-10,82A,1,288,10,15,0.2724,68.1,0.784,196
15-7,82A,1,206,7,15,0.2944,73.6,0.528,132
25-7,82A,2,206,7,16,0.3056,76.4,0.1412,35.3
cs11-5,82A,1,128,5,15,0.3196,79.9,0.1372,34.3
13-7,82A,1,206,7,15,0.3196,79.9,0.544,136
pa24-5,82A,2,128,5,16,0.42,105,0.00238,0.595
24-7,82A,2,206,7,16,0.436,109,0.162,40.5
13-10,82A,1,288,10,15,0.448,112,0.226,56.5
13-10,82A,1,288,10,15,0.496,124,0.2296,57.4
10-Dec,82A,1,288,10,15,0.604,151,0.0972,24.3
21-10,82A,2,288,10,16,0.656,164,0.1844,46.1
23-10,82A,2,288,10,16,0.664,166,0.294,73.5
21-5,82A,2,128,5,16,0.7,175,-0.00948,-2.37
cs24-5,82A,2,128,5,16,0.732,183,-0.00848,-2.12
14-7,82A,1,206,7,15,0.776,194,0.448,112
pa24-5,82A,2,128,5,16,0.792,198,0.0616,15.4
cs14-5,82A,1,128,5,15,0.804,201,0.1612,40.3
22-7,82A,2,206,7,16,0.904,226,7.16,1790
cs22-5,82A,2,128,5,16,0.924,231,0.158,39.5
21-7,82A,2,206,7,16,1.048,262,0.2348,58.7
21-7,82A,2,206,7,16,1.116,279,0.2336,58.4
cs23-5,82A,2,128,5,16,1.152,288,-0.001916,-0.479
pa14-5,82A,1,128,5,15,1.168,292,0.1072,26.8
22-7,82A,2,206,7,16,1.172,293,0.186,46.5
22-7,82A,2,206,7,16,1.204,301,0.2216,55.4
pa14-5,82A,1,128,5,15,1.228,307,0.1012,25.3
cs22-5,82A,2,128,5,16,1.248,312,0.16,40
pa12-5,82A,1,128,5,15,1.332,333,0.2216,55.4
pa24-5,82A,2,128,5,16,1.412,353,0.0428,10.7
pa12-5,82A,1,128,5,15,1.424,356,0.2232,55.8
22-10,82A,2,288,10,16,1.568,392,0.2824,70.6
