Sample ID,sample,site,rep,month,place,Auto Dilution Factor,Analyte Name,Peak Concentration,Conc x ADF,mg/g,mg/kg
82a1-10,82a1,82A,1,10,15,10,Ammonia,2.45,24.5,0.98,245
82a1-10,82a1,82A,1,10,15,10,NO3+NO2,1.07,10.7,0.428,107
82a1-5,82a1,82A,1,5,15,1,Ammonia,8.71,8.71,0.3484,87.1
82a1-5,82a1,82A,1,5,15,1,NO3+NO2,8.97,8.97,0.3588,89.7
82a1-7,82a1,82A,1,7,15,10,Ammonia,3.36,33.6,1.344,336
82a1-7,82a1,82A,1,7,15,10,NO3+NO2,0.0397,0.397,0.01588,3.97
82a2-10,83a2,82A,2,10,16,10,Ammonia,2.4,24,0.96,240
82a2-10,82a2,82A,2,10,16,10,NO3+NO2,0.18,1.8,0.072,18
82a2-5,82a2,82A,2,5,16,1,Ammonia,10.9,10.9,0.436,109
82a2-5,82a2,82A,2,5,16,1,NO3+NO2,1.38,1.38,0.0552,13.8
82a2-7,82a2,82A,2,7,16,10,Ammonia,2.39,23.9,0.956,239
82a2-7,82a2,82A,2,7,16,10,NO3+NO2,0.0263,0.263,0.01052,2.63
82a3-10,82a3,82A,3,10,17,10,Ammonia,3.11,31.1,1.244,311
82a3-10,82a3,82A,3,10,17,10,NO3+NO2,0.433,4.33,0.1732,43.3
82a3-5,82a3,82A,3,5,17,1,Ammonia,14.3,14.3,0.572,143
82a3-5,82a3,82A,3,5,17,1,NO3+NO2,8.38,8.38,0.3352,83.8
82a3-7,82a3,82A,3,7,17,1,Ammonia,15.3,15.3,0.612,153
82a3-7,82a3,82A,3,7,17,1,NO3+NO2,3.1,3.1,0.124,31
82a4-10,82a4,82A,4,10,18,1,Ammonia,18.8,18.8,0.752,188
82a4-10,82a4,82A,4,10,18,1,NO3+NO2,3.39,3.39,0.1356,33.9
82a4-5,82a4,82A,4,5,18,1,Ammonia,9.65,9.65,0.386,96.5
82a4-5,82a4,82A,4,5,18,1,NO3+NO2,3.73,3.73,0.1492,37.3
82a4-7,82a4,82A,4,7,18,1,Ammonia,11,11,0.44,110
82a4-7,82a4,82A,4,7,18,1,NO3+NO2,0.278,0.278,0.01112,2.78
82a5-10,82a5,82A,5,10,19,10,Ammonia,1.87,18.7,0.748,187
82a5-10,82a5,82A,5,10,19,10,NO3+NO2,0.427,4.27,0.1708,42.7
82a5-5,82a5,82A,5,5,19,1,Ammonia,10.5,10.5,0.42,105
82a5-5,82a5,82A,5,5,19,1,NO3+NO2,2.23,2.23,0.0892,22.3
82a5-7,82a5,82A,5,7,19,10,Ammonia,2.66,26.6,1.064,266
82a5-7,82a5,82A,5,7,19,10,NO3+NO2,0.0479,0.479,0.01916,4.79
82a6-10,82a6,82A,6,10,20,10,Ammonia,2.77,27.7,1.108,277
82a6-10,82a6,82A,6,10,20,10,NO3+NO2,0.105,1.05,0.042,10.5
82a6-5,82a6,82A,6,5,20,1,Ammonia,15.7,15.7,0.628,157
82a6-5,82a6,82A,6,5,20,1,NO3+NO2,3.38,3.38,0.1352,33.8
82a6-7,82a6,82A,6,7,20,10,Ammonia,3.29,32.9,1.316,329
82a6-7,82a6,82A,6,7,20,10,NO3+NO2,0.102,1.02,0.0408,10.2
82a7-10,82a7,82A,7,10,21,1,Ammonia,12.3,12.3,0.492,123
82a7-10,82a7,82A,7,10,21,1,NO3+NO2,1.76,1.76,0.0704,17.6
82a7-5,82a7,82A,7,5,21,1,Ammonia,10.2,10.2,0.408,102
82a7-5,82a7,82A,7,5,21,1,NO3+NO2,1.45,1.45,0.058,14.5
82a7-7,82a7,82A,7,7,21,1,Ammonia,16.1,16.1,0.644,161
82a7-7,82a7,82A,7,7,21,1,NO3+NO2,0.294,0.294,0.01176,2.94
dl1-10,dl1,DL,1,10,13,10,Ammonia,2.74,27.4,1.096,274
dl1-10,dl1,DL,1,10,13,10,NO3+NO2,0.139,1.39,0.0556,13.9
dl1-5,dl1,DL,1,5,13,10,Ammonia,2.41,24.1,0.964,241
dl1-5,dl1,DL,1,5,13,10,NO3+NO2,0.167,1.67,0.0668,16.7
dl1-7,dl1,DL,1,7,13,10,Ammonia,5.7,57,2.28,570
dl1-7,dl1,DL,1,7,13,10,NO3+NO2,0.0265,0.265,0.0106,2.65
dl2-10,dl2,DL,2,10,14,10,Ammonia,1.9,19,0.76,190
dl2-10,dl2,DL,2,10,14,10,NO3+NO2,0.119,1.19,0.0476,11.9
dl2-5,dl2,DL,2,5,14,1,Ammonia,12.7,12.7,0.508,127
dl2-5,dl2,DL,2,5,14,1,NO3+NO2,0.738,0.738,0.02952,7.38
dl2-7,dl2,DL,2,7,14,1,Ammonia,9.15,9.15,0.366,91.5
dl2-7,dl2,DL,2,7,14,1,NO3+NO2,0.258,0.258,0.01032,2.58
hl1-5,hl1,HL,1,5,1,1,Ammonia,1.68,1.68,0.0672,16.8
hl1-5,hl1,HL,1,5,1,1,NO3+NO2,2.31,2.31,0.0924,23.1
hl1-7,hl1,HL,1,7,1,1,Ammonia,1.92,1.92,0.0768,19.2
hl1-7,hl1,HL,1,7,1,1,NO3+NO2,0.464,0.464,0.01856,4.64
hl1cs-10,hl1,HL,1,10,1,1,Ammonia,3.64,3.64,0.1456,36.4
hl1cs-10,hl1,HL,1,10,1,1,NO3+NO2,0.765,0.765,0.0306,7.65
hl1pa-10,hl1,HL,1,10,1,1,Ammonia,2.73,2.73,0.1092,27.3
hl1pa-10,hl1,HL,1,10,1,1,NO3+NO2,1.41,1.41,0.0564,14.1
